Year,SA3_CODE21,SA3_NAME21,Age Group,% DTP,% Polio,% HIB,% HEP,% MMR,% Pneumo,% MenC,% Varicella,% Fully
2022,30301,Carindale,5 Year olds,95.53571429,95.38690476,0,0,0,0,0,0,95.38690476
2022,30302,Holland Park - Yeronga,5 Year olds,94.375,94.5,0,0,0,0,0,0,94.125
2022,30303,Mt Gravatt,5 Year olds,92.03187251,92.43027888,0,0,0,0,0,0,91.93227092
2022,30304,Nathan,5 Year olds,94.22718808,94.41340782,0,0,0,0,0,0,94.22718808
2022,30305,Rocklea - Acacia Ridge,5 Year olds,94.25287356,94.78337754,0,0,0,0,0,0,94.25287356
2022,30306,Sunnybank,5 Year olds,92.34042553,92.4822695,0,0,0,0,0,0,92.19858156
2022,30401,Centenary,5 Year olds,95.64102564,95.64102564,0,0,0,0,0,0,95.38461538
2022,30402,Kenmore - Brookfield - Moggill,5 Year olds,94.16809605,94.33962264,0,0,0,0,0,0,94.16809605
2022,30403,Sherwood - Indooroopilly,5 Year olds,94.33551198,93.46405229,0,0,0,0,0,0,93.46405229
2022,30404,The Gap - Enoggera,5 Year olds,96.53092006,96.22926094,0,0,0,0,0,0,96.22926094
2022,30501,Brisbane Inner,5 Year olds,90.87136929,91.07883817,0,0,0,0,0,0,90.66390041
2022,30502,Brisbane Inner - East,5 Year olds,93.57798165,93.39449541,0,0,0,0,0,0,93.21100917
2022,30503,Brisbane Inner - North,5 Year olds,95.67147614,95.89345172,0,0,0,0,0,0,95.67147614
2022,30504,Brisbane Inner - West,5 Year olds,93.88379205,94.03669725,0,0,0,0,0,0,93.73088685
2022,30601,Cairns - North,5 Year olds,94.59064327,94.29824561,0,0,0,0,0,0,94.15204678
2022,30602,Cairns - South,5 Year olds,95.41759054,95.34368071,0,0,0,0,0,0,95.19586105
2022,30603,Innisfail - Cassowary Coast,5 Year olds,96.04651163,95.81395349,0,0,0,0,0,0,95.81395349
2022,30604,Port Douglas - Daintree,5 Year olds,89.42307692,89.42307692,0,0,0,0,0,0,89.42307692
2022,30605,Tablelands (East) - Kuranda,5 Year olds,88.0952381,88.0952381,0,0,0,0,0,0,88.0952381
2022,30701,Darling Downs (West) - Maranoa,5 Year olds,95.84775087,95.84775087,0,0,0,0,0,0,95.84775087
2022,30702,Darling Downs - East,5 Year olds,95.30332681,95.30332681,0,0,0,0,0,0,95.30332681
2022,30703,Granite Belt,5 Year olds,94.43155452,94.19953596,0,0,0,0,0,0,94.19953596
2022,30801,Central Highlands (Qld),5 Year olds,93.11926606,92.88990826,0,0,0,0,0,0,92.66055046
2022,30803,Rockhampton,5 Year olds,96.23015873,96.0978836,0,0,0,0,0,0,95.96560847
2022,30901,Broadbeach - Burleigh,5 Year olds,91.21037464,91.49855908,0,0,0,0,0,0,91.06628242
2022,30902,Coolangatta,5 Year olds,88.68552413,89.01830283,0,0,0,0,0,0,88.51913478
2022,30903,Gold Coast - North,5 Year olds,91.94078947,91.61184211,0,0,0,0,0,0,91.61184211
2022,30904,Gold Coast Hinterland,5 Year olds,82.22222222,83.11111111,0,0,0,0,0,0,82.22222222
2022,30905,Mudgeeraba - Tallebudgera,5 Year olds,92.24489796,92.24489796,0,0,0,0,0,0,92.24489796
2022,30906,Nerang,5 Year olds,92.78466742,92.67192785,0,0,0,0,0,0,92.67192785
2022,30907,Ormeau - Oxenford,5 Year olds,93.18910256,93.30929487,0,0,0,0,0,0,93.10897436
2022,30908,Robina,5 Year olds,91.31944444,91.49305556,0,0,0,0,0,0,91.14583333
2022,30909,Southport,5 Year olds,92.13675214,92.30769231,0,0,0,0,0,0,91.96581197
2022,30910,Surfers Paradise,5 Year olds,92.30769231,92.30769231,0,0,0,0,0,0,92.30769231
2022,31001,Forest Lake - Oxley,5 Year olds,93.98563734,93.80610413,0,0,0,0,0,0,93.80610413
2022,31002,Ipswich Hinterland,5 Year olds,94.19924338,94.07313997,0,0,0,0,0,0,94.07313997
2022,31003,Ipswich Inner,5 Year olds,95.18941672,95.18941672,0,0,0,0,0,0,95.06915213
2022,31004,Springfield - Redbank,5 Year olds,93.86839482,93.86839482,0,0,0,0,0,0,93.76869392
2022,31101,Beaudesert,5 Year olds,94.26751592,93.63057325,0,0,0,0,0,0,93.63057325
2022,31102,Beenleigh,5 Year olds,90.15471167,90.0140647,0,0,0,0,0,0,90.0140647
2022,31103,Browns Plains,5 Year olds,92.26006192,92.26006192,0,0,0,0,0,0,92.19814241
2022,31104,Jimboomba,5 Year olds,94.49901768,94.59724951,0,0,0,0,0,0,94.40078585
2022,31105,Loganlea - Carbrook,5 Year olds,92.1875,92.1875,0,0,0,0,0,0,91.96428571
2022,31106,Springwood - Kingston,5 Year olds,91.4217633,91.10405083,0,0,0,0,0,0,90.78633836
2022,31201,Bowen Basin - North,5 Year olds,94.69026549,94.24778761,0,0,0,0,0,0,94.24778761
